22.7,0,1,0.69,16.7,2.9,1.067
22.2,0,0.7,0.71,16.6,2.8,0.904
21.8,0,1.1,0.74,16.9,2.8,0.79
21.7,0,0.5,0.76,17.2,3,0.673
21.7,0,0.4,0.77,17.4,3.2,0.635
22.1,0,0.6,0.76,17.6,3,0.736
23.3,0,0.5,0.71,17.7,2.5,0.757
24.8,0,1.8,0.67,18.2,2.4,0.78
26.4,0,1.9,0.56,16.9,1.9,1.444
28.2,0,2.5,0.57,18.8,1.4,1.138
29.2,0,3,0.51,18,0.8,1.627
30.1,0,2.3,0.5,18.5,0.3,1.599
31.2,0,2.9,0.48,18.8,-0.4,1.907
32.3,0,2.1,0.43,18.1,-0.9,2.222
32.3,0,1.9,0.39,16.5,-1.3,2.835
31.5,0,0.9,0.41,16.6,-1.7,2.913
28,0.8,0.8,0.65,20.7,-1.5,1.77
28,0,0.9,0.65,20.7,-0.9,1.571
28.1,0,0.4,0.57,18.7,0,1.819
26.7,0,0.5,0.56,17.1,0.9,1.95
26.2,0,0.8,0.56,16.7,1.2,1.928
25.2,0,1.1,0.57,16,1.3,2.128
24.6,0,1.1,0.6,16.3,1,1.875
23.7,0,0.3,0.65,16.7,0.8,1.563
23,0,0.4,0.74,18.1,0.5,1.191
22.7,0,0.7,0.73,17.6,1,1.1
22.2,0,0.5,0.76,17.7,1.7,0.769
21.7,0,0.6,0.78,17.6,2,0.707
21.7,0,1,0.82,18.4,1.7,0.789
22.8,0,0.4,0.75,18.1,1.8,0.872
24.1,0,1.3,0.71,18.5,2.3,0.836
25.9,0,1,0.65,18.8,2.3,0.882
28,0,0.8,0.57,18.6,2.2,1.008
29.2,0,1.3,0.52,18.3,1.7,1.234
30.1,0,2.1,0.5,18.5,1.3,1.346
31.5,0,2.1,0.45,18.1,0.8,1.989
32.7,0,1.9,0.43,18.4,0.4,2.021
33,0,3.2,0.44,19.1,-0.1,2.167
